iter	Passed	Remaining
0	76	76565
1	81	40500
2	87	29018
3	91	22816
4	96	19192
5	101	1673766	105	14987	124	15489
8	129	14251
99	131	1300010	167	15099
11	172	14183
12	175	13308
13	179	12666
14	184	12123
15	189	11668
16	194	11221
17	198	10817
118	203	10488
19	207	10181
20	212	9924
21	217	9677
22	222	9439
23	227	24	2324	232	25	244	9142
26	256	9251
27	2627	266	28	2728	288	9647
29	302	9777
30	316	9883
31	335	10162
32	355	10421
33	365	10388
34	377	10419
35	398	10684
36	421	10966
37	444	11263
38	463	11422
39	485	11662
40	518	12139
41	536	12241
42	540	12038
43	587	12772
44	599	12728
45	611	12681
46	640	12984
47	667	13239
48	702	13635
49	725	13793
50	734	13661
51	765	13962
52	778	13909
53	803	14078
54	820	14094
55	838	14127
56	895	14819
57	921	14963
58	938	14975
59	949	14868
60	956	14717
61	969	14671
62	995	14811
63	1008	14747
64	1015	14609
65	1026	14525
66	1042	14516
67	1046	14346
68	1068	14413
69	1089	14474
70	1097	14358
71	1108	14293
72	1114	14152
73	1121	14036
74	1127	13899
75	1151	14001
76	1187	14232
77	1221	14440
78	1228	14316
79	1232	14172
80	1238	14046
81	1255	14058
82	1261	13931
83	1265	13799
84	1270	13674
85	1274	13547
86	1278	13419
87	1284	13310
88	1293	13236
89	1299	13137
90	1305	13044
91	1314	12970
92	1320	12877
93	1328	12804
94	1333	12699
95	1344	12664
96	1351	12585
97	1359	12513
98	1365	12429
99	1376	12387
100	1381	12298
101	1385	12201
102	1390	12109
103	1397	12037
104	1407	11995
105	1415	11934
106	1418	11835
107	1423	11760
108	1434	11725
109	1454	11772
110	1464	11729
111	1469	11648
112	1478	11604
113	1488	11566
114	1493	11496
115	1508	11493
116	1527	11525
117	1538	11497
118	1544	11435
119	1563	11467
120	1592	11568
121	1601	11523
122	1605	11447
123	1619	11442
124	1635	11446
125	1645	11413
126	1651	11354
127	1662	11323
128	1678	11329
129	1717	11494
130	1739	11540
131	1749	11504
132	1760	11475
133	1764	11406
134	1768	11332
135	1780	11311
136	1785	11245
137	1800	11247
138	1811	11218
139	1825	11213
140	1834	11173
141	1841	11124
142	1852	11105
143	1860	11060
144	1869	11025
145	1876	10973
146	1906	11060
147	1929	11106
148	1935	11054
149	1945	11026
150	1973	11097
151	1981	11055
152	1996	11051
153	2012	11058
154	2021	11021
155	2048	11081
156	2087	11207
157	2119	11292
158	2145	11350
159	2194	11518
160	2197	11451
161	2201	11388
162	2210	11352
163	2220	11321
164	2224	11258
165	2233	11221
166	2238	11164
167	2249	11139
168	2263	11128
169	2270	11084
170	2274	11026
171	2278	10969
172	2285	10926
173	2298	10910
174	2305	10870
175	2398	11227
176	2402	11170
177	2434	11240
178	2483	11389
179	2486	11328
180	2511	11365
181	2522	11337
182	2526	11277
183	2535	11243
184	2551	11240
185	2557	11193
186	2563	11144
187	2568	11092
188	2573	11041
189	2577	10989
190	2591	10978
191	2611	10990
192	2617	10946
193	2634	10943
194	2648	10934
195	2659	10909
196	2669	10879
197	2674	10834
198	2680	10788
199	2686	10747
200	2694	10710
201	2697	10658
202	2708	10632
203	2717	10603
204	2726	10573
205	2730	10526
206	2735	10480
207	2742	10440
208	2748	10401
209	2754	10362
210	2760	10321
211	2763	10272
212	2770	10235
213	2774	10189
214	2779	10148
215	2789	10125
216	2796	10089
217	2805	10062
218	2813	10033
219	2818	9994
220	2828	9968
221	2840	9955
222	2850	9932
223	2858	9903
224	2864	9867
225	2872	9838
226	2883	9820
227	2892	9793
228	2904	9778
229	2912	9751
230	2925	9740
231	2933	9711
232	2939	9675
233	2952	9664
234	2959	9634
235	2972	9623
236	2980	9594
237	2995	9590
238	3005	9570
239	3014	9545
240	3020	9514
241	3027	9482
242	3034	9453
243	3040	9421
244	3047	9391
245	3051	9353
246	3055	9314
247	3060	9279
248	3067	9252
249	3071	9215
250	3077	9183
251	3082	9149
252	3092	9129
253	3110	9135
254	3114	9100
255	3134	9110
256	3157	9127
257	3163	9097
258	3182	9105
259	3199	9106
260	3204	9072
261	3208	9036
262	3211	9000
263	3215	8965
264	3220	8931
265	3223	8896
266	3227	8861
267	3232	8828
268	3236	8794
269	3240	8761
270	3245	8729
271	3249	8696
272	3253	8664
273	3257	8631
274	3261	8598
275	3265	8566
276	3269	8533
277	3273	8501
278	3277	8470
279	3282	8439
280	3285	8407
281	3289	8375
282	3293	8345
283	3298	8316
284	3302	8284
285	3307	8256
286	3311	8226
287	3314	8195
288	3318	8165
289	3323	8137
290	3327	8106
291	3331	8076
292	3334	8046
293	3338	8015
294	3341	7986
295	3345	7957
296	3349	7927
297	3352	7898
298	3356	7870
299	3361	7842
300	3365	7815
301	3369	7787
302	3373	7759
303	3376	7731
304	3380	7703
305	3384	7676
306	3388	7649
307	3392	7622
308	3397	7598
309	3401	7571
310	3405	7544
311	3410	7520
312	3413	7492
313	3418	7467
314	3422	7443
315	3426	7416
316	3429	7390
317	3433	7364
318	3438	7339
319	3443	7317
320	3450	7298
321	3456	7277
322	3463	7258
323	3470	7240
324	3477	7222
325	3484	7203
326	3488	7180
327	3494	7160
328	3501	7141
329	3507	7121
330	3513	7102
331	3520	7083
332	3526	7064
333	3533	7045
334	3540	7027
335	3547	7009
336	3553	6991
337	3561	6975
338	3567	6955
339	3573	6936
340	3580	6919
341	3590	6908
342	3596	6889
343	3601	6868
344	3606	6846
345	3612	6828
346	3617	6807
347	3624	6790
348	3631	6774
349	3637	6755
350	3642	6735
351	3650	6719
352	3657	6702
353	3662	6682
354	3668	6666
355	3676	6649
356	3681	6631
357	3688	6614
358	3695	6597
359	3701	6580
360	3709	6565
361	3716	6550
362	3723	6533
363	3730	6517
364	3736	6501
365	3744	6485
366	3751	6469
367	3756	6451
368	3763	6435
369	3767	6415
370	3773	6397
371	3779	6380
372	3784	6361
373	3788	6341
374	3793	6321
375	3798	6303
376	3805	6288
377	3811	6271
378	3816	6253
379	3822	6236
380	3827	6217
381	3833	6201
382	3840	6187
383	3846	6171
384	3853	6155
385	3859	6138
386	3863	6120
387	3870	6104
388	3878	6092
389	3885	6077
390	3891	6061
391	3897	6045
392	3903	6029
393	3911	6015
394	3917	6000
395	3923	5984
396	3930	5969
397	3935	5953
398	3940	5935
399	3946	5919
400	3952	5904
401	3958	5888
402	3964	5873
403	3969	5856
404	3975	5840
405	3981	5824
406	3987	5810
407	3994	5795
408	4001	5781
409	4008	5768
410	4016	5755
411	4024	5743
412	4031	5729
413	4037	5714
414	4043	5700
415	4049	5685
416	4054	5668
417	4060	5653
418	4064	5636
419	4068	5618
420	4073	5601
421	4077	5584
422	4081	5567
423	4086	5551
424	4090	5533
425	4094	5517
426	4099	5501
427	4104	5485
428	4108	5468
429	4113	5452
430	4118	5436
431	4122	5419
432	4126	5403
433	4130	5386
434	4134	5369
435	4137	5352
436	4141	5335
437	4146	5320
438	4152	5306
439	4157	5291
440	4162	5276
441	4169	5263
442	4175	5249
443	4180	5235
444	4187	5222
445	4192	5207
446	4198	5193
447	4204	5180
448	4210	5167
449	4215	5152
450	4221	5138
451	4226	5124
452	4232	5110
453	4239	5098
454	4245	5085
455	4252	5072
456	4265	5067
457	4274	5058
458	4286	5052
459	4293	5039
460	4300	5027
461	4305	5014
462	4311	5000
463	4317	4987
464	4324	4975
465	4330	4961
466	4335	4948
467	4340	4933
468	4344	4918
469	4348	4903
470	4352	4888
471	4356	4873
472	4361	4858
473	4368	4847
474	4375	4835
475	4381	4823
476	4388	4811
477	4395	4800
478	4401	4787
479	4408	4775
480	4415	4764
481	4421	4751
482	4428	4740
483	4435	4728
484	4442	4716
485	4448	4704
486	4454	4692
487	4460	4680
488	4465	4666
489	4469	4652
490	4477	4641
491	4483	4629
492	4489	4617
493	4496	4605
494	4504	4595
495	4511	4583
496	4517	4572
497	4523	4560
498	4529	4547
499	4534	4534
500	4538	4520
501	4548	4512
502	4557	4502
503	4564	4491
504	4569	4479
505	4576	4467
506	4582	4455
507	4588	4443
508	4594	4431
509	4600	4420
510	4607	4409
511	4614	4398
512	4621	4387
513	4627	4375
514	4634	4364
515	4641	4353
516	4648	4342
517	4655	4331
518	4659	4318
519	4663	4304
520	4667	4291
521	4673	4279
522	4678	4267
523	4684	4255
524	4690	4243
525	4696	4232
526	4702	4220
527	4708	4209
528	4715	4198
529	4720	4186
530	4725	4173
531	4730	4161
532	4735	4148
533	4740	4136
534	4746	4125
535	4753	4114
536	4761	4105
537	4768	4094
538	4774	4083
539	4780	4072
540	4786	4061
541	4792	4049
542	4798	4038
543	4804	4026
544	4809	4015
545	4814	4003
546	4821	3992
547	4830	3984
548	4837	3974
549	4848	3966
550	4854	3955
551	4861	3945
552	4867	3934
553	4873	3923
554	4879	3912
555	4885	3900
556	4889	3888
557	4895	3877
558	4902	3867
559	4907	3855
560	4912	3843
561	4917	3832
562	4922	3820
563	4926	3808
564	4929	3795
565	4936	3785
566	4943	3774
567	4949	3764
568	4954	3752
569	4959	3741
570	4963	3728
571	4968	3718
572	4975	3707
573	4982	3697
574	4987	3686
575	4992	3674
576	4997	3663
577	5002	3651
578	5006	3640
579	5012	3630
580	5018	3619
581	5026	3610
582	5031	3598
583	5035	3587
584	5039	3574
585	5043	3562
586	5047	3551
587	5051	3539
588	5054	3526
589	5057	3514
590	5061	3502
591	5064	3490
592	5067	3478
593	5070	3465
594	5073	3453
595	5077	3441
596	5080	3429
597	5083	3417
598	5088	3406
599	5093	3395
600	5098	3384
601	5102	3373
602	5105	3361
603	5110	3350
604	5115	3339
605	5120	3329
606	5126	3319
607	5132	3309
608	5138	3299
609	5143	3288
610	5148	3278
611	5153	3267
612	5156	3255
613	5161	3245
614	5167	3234
615	5172	3224
616	5177	3213
617	5183	3203
618	5188	3193
619	5194	3183
620	5199	3173
621	5205	3163
622	5209	3152
623	5214	3141
624	5218	3131
625	5222	3119
626	5225	3108
627	5231	3098
628	5234	3087
629	5238	3076
630	5242	3065
631	5246	3054
632	5252	3045
633	5258	3035
634	5263	3025
635	5268	3015
636	5273	3005
637	5277	2994
638	5283	2984
639	5286	2973
640	5290	2962
641	5294	2952
642	5297	2940
643	5300	2929
644	5303	2918
645	5306	2907
646	5309	2897
647	5312	2885
648	5316	2875
649	5320	2865
650	5324	2854
651	5329	2844
652	5334	2834
653	5339	2825
654	5344	2814
655	5348	2804
656	5351	2794
657	5356	2784
658	5361	2774
659	5366	2764
660	5372	2755
661	5377	2745
662	5382	2735
663	5386	2725
664	5391	2715
665	5395	2705
666	5398	2695
667	5403	2685
668	5409	2676
669	5413	2666
670	5418	2656
671	5422	2646
672	5427	2637
673	5432	2627
674	5436	2617
675	5440	2607
676	5443	2597
677	5447	2587
678	5451	2577
679	5455	2567
680	5458	2556
681	5461	2546
682	5464	2536
683	5468	2526
684	5471	2516
685	5475	2506
686	5479	2496
687	5484	2487
688	5490	2478
689	5495	2468
690	5500	2459
691	5505	2450
692	5509	2440
693	5513	2430
694	5518	2421
695	5523	2412
696	5528	2403
697	5532	2393
698	5535	2383
699	5539	2374
700	5543	2364
701	5547	2354
702	5552	2345
703	5558	2337
704	5563	2328
705	5568	2319
706	5574	2310
707	5578	2300
708	5583	2291
709	5588	2282
710	5593	2273
711	5598	2264
712	5602	2255
713	5605	2245
714	5609	2236
715	5613	2226
716	5617	2217
717	5622	2208
718	5628	2199
719	5633	2190
720	5637	2181
721	5642	2172
722	5647	2163
723	5652	2154
724	5657	2145
725	5661	2136
726	5664	2127
727	5669	2118
728	5673	2108
729	5676	2099
730	5681	2090
731	5686	2081
732	5691	2073
733	5697	2064
734	5701	2055
735	5707	2047
736	5711	2038
737	5716	2029
738	5720	2020
739	5726	2011
740	5731	2003
741	5735	1994
742	5739	1985
743	5745	1976
744	5749	1967
745	5754	1959
746	5760	1950
747	5764	1941
748	5770	1933
749	5775	1925
750	5780	1916
751	5785	1908
752	5791	1899
753	5795	1890
754	5802	1882
755	5807	1874
756	5813	1866
757	5817	1857
758	5822	1848
759	5826	1840
760	5830	1831
761	5836	1822
762	5842	1814
763	5848	1806
764	5853	1798
765	5858	1789
766	5862	1780
767	5866	1772
768	5871	1763
769	5878	1755
770	5883	1747
771	5888	1739
772	5893	1730
773	5898	1722
774	5904	1714
775	5908	1705
776	5913	1697
777	5919	1689
778	5925	1680
779	5929	1672
780	5935	1664
781	5940	1655
782	5944	1647
783	5948	1638
784	5954	1630
785	5959	1622
786	5964	1614
787	5967	1605
788	5971	1596
789	5974	1588
790	5977	1579
791	5979	1570
792	5982	1561
793	5985	1552
794	5987	1544
795	5990	1535
796	5992	1526
797	5995	1517
798	5997	1508
799	5999	1499
800	6002	1491
801	6005	1482
802	6007	1473
803	6009	1465
804	6012	1456
805	6014	1447
806	6017	1439
807	6019	1430
808	6022	1421
809	6024	1413
810	6027	1404
811	6030	1396
812	6035	1388
813	6039	1380
814	6044	1372
815	6048	1363
816	6053	1355
817	6056	1347
818	6060	1339
819	6065	1331
820	6070	1323
821	6074	1315
822	6079	1307
823	6083	1299
824	6088	1291
825	6092	1283
826	6098	1275
827	6103	1267
828	6108	1259
829	6113	1252
830	6118	1244
831	6124	1236
832	6128	1228
833	6134	1220
834	6138	1213
835	6143	1205
836	6148	1197
837	6153	1189
838	6158	1181
839	6163	1173
840	6167	1165
841	6170	1157
842	6175	1150
843	6180	1142
844	6185	1134
845	6190	1126
846	6195	1119
847	6200	1111
848	6205	1103
849	6209	1095
850	6214	1088
851	6219	1080
852	6223	1072
853	6227	1064
854	6230	1056
855	6234	1048
856	6238	1040
857	6242	1033
858	6246	1025
859	6251	1017
860	6256	1010
861	6261	1002
862	6265	994
863	6269	986
864	6273	979
865	6276	971
866	6280	963
867	6282	955
868	6285	947
869	6289	939
870	6293	932
871	6297	924
872	6299	916
873	6302	908
874	6306	900
875	6310	893
876	6313	885
877	6316	877
878	6320	870
879	6324	862
880	6329	854
881	6334	847
882	6339	840
883	6344	832
884	6349	825
885	6354	817
886	6359	810
887	6364	802
888	6369	795
889	6374	787
890	6379	780
891	6384	772
892	6388	765
893	6393	758
894	6398	750
895	6403	743
896	6409	735
897	6413	728
898	6418	721
899	6422	713
900	6427	706
901	6432	698
902	6437	691
903	6442	684
904	6447	676
905	6452	669
906	6458	662
907	6463	654
908	6467	647
909	6472	640
910	6477	632
911	6482	625
912	6487	618
913	6491	610
914	6495	603
915	6498	595
916	6502	588
917	6507	581
918	6512	574
919	6517	566
920	6522	559
921	6527	552
922	6531	544
923	6536	537
924	6542	530
925	6547	523
926	6552	515
927	6557	508
928	6563	501
929	6568	494
930	6574	487
931	6579	480
932	6584	472
933	6589	465
934	6593	458
935	6598	451
936	6604	444
937	6608	436
938	6613	429
939	6619	422
940	6624	415
941	6627	408
942	6632	400
943	6637	393
944	6640	386
945	6645	379
946	6650	372
947	6655	365
948	6660	357
949	6665	350
950	6669	343
951	6673	336
952	6676	329
953	6680	322
954	6683	314
955	6689	307
956	6695	300
957	6701	293
958	6706	286
959	6711	279
960	6717	272
961	6722	265
962	6727	258
963	6733	251
964	6738	244
965	6744	237
966	6749	230
967	6754	223
968	6759	216
969	6766	209
970	6772	202
971	6777	195
972	6781	188
973	6785	181
974	6789	174
975	6794	167
976	6798	160
977	6802	153
978	6807	146
979	6811	139
980	6816	132
981	6820	125
982	6824	118
983	6830	111
984	6836	104
985	6841	97
986	6846	90
987	6852	83
988	6857	76
989	6863	69
990	6868	62
991	6874	55
992	6879	48
993	6885	41
994	6890	34
995	6895	27
996	6901	20
997	6906	13
998	6910	6
999	6915	0
